,0
첼시,0
맨유,0
셰필드,0
리버풀,2
에버턴,1
사우샘프턴,0
맨시티,4
울버햄튼,1
번리,1
레스터,1
셰필드,1
아스톤 빌라,0
팰리스,0
맨유,0
웨스트브롬,0
에버턴,1
풀럼,0
토트넘,1
리버풀,0
첼시,1
번리,1
아스널,1
셰필드,0
사우샘프턴,2
아스톤 빌라,0
울버햄튼,0
브라이튼,1
레스터,2
웨스트브롬,0
뉴캐슬,0
리버풀,0
풀럼,1
맨시티,0
맨유,2
토트넘,4
팰리스,1
첼시,2
에버턴,0
웨스트햄,2
리즈,0
맨시티,5
사우샘프턴,2
뉴캐슬,1
아스톤 빌라,1
리즈,0
첼시,0
팰리스,1
웨스트브롬,0
에버턴,1
번리,2
풀럼,0
맨시티,3
사우샘프턴,1
브라이튼,2
레스터,5
셰필드,0
아스널,2
토트넘,1
맨유,1
웨스트햄,0
울버햄튼,0
리버풀,1
풀럼,1
리즈,2
브라이튼,3
뉴캐슬,0
웨스트햄,3
아스널,3
아스톤 빌라,0
토트넘,2
